Showers,Sinks,CW,DW,Baths
,0.0706902,,,
,,,,
,0.008422,,,
,,,,
,,,,
,0.040225,,,
,,,,
0.4971879,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0344178,,,
,,,,
,,,,
,,,,
,,,,
,0.0985405,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0032297,,
,,,,
,0.0211919,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0018243,,,
,0.0043782,,,
,,,,
,0.0086957,,,
,,,,
,,,,
,,,,
,,,,
,0.020675,,,
,0.0111888,,,
,0.0100638,,,
,,,,
,,,,
,0.0080572,,,
,,,0.0522348,
,,,0.0834848,
,,,,
,,,,
,,,,
,,,,
,0.0002128,,,
,,,,
,0.0059592,,,
,0.0342657,,,
,0.0018547,,,
,,,,
,,,,
,,,,
,,,,0.187053
,,,,0.0374106
,0.015567,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0227122,,,
,,,,
,,,,
,,0.0401696,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0026148,,,
,0.0208574,0.0448728,,
,,,,
,,,,
,,,,
,,,,
,,,0.091591,
,,,0.0754924,
,,,0.0663636,
,,,0.0518182,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0936454,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0170569,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0200973,,,
,,,,
,,,,
0.1508244,,,,
0.4021984,,,,
,,,,
0.0975052,,,,
0.243763,,,,
,,,,
,,,0.1283712,
,,,0.0855303,
,,,0.0464015,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0103375,0.0141502,,
,0.0241715,,,
,,,,
,,,0.0656818,
,0.0206142,,0.0702652,
,0.0349042,,0.0533333,
,,,0.1044696,
,,0.0603956,0.0588258,
,,,0.0618182,
,,,,
,,,,
,,,,
,0.0571602,,,
,,,,
,,0.0590634,,
,,,,
,0.0005777,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.056197,,
,,,,
,0.0564609,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0049863,,,0.5953688
,,,,
,,,,
,,,,
,,,,
,,0.0398466,,
,,,,
,,,,
,0.0016722,,,
,0.0803892,,,
,,,,
,,,,
,,,,
,,,,
,0.0703558,,,
,,,,
,,,,
,,,,
,0.0078747,,,
,0.1077532,,,
,,,,
,,,,
,0.0175129,,,
,,,,
,0.0088781,0.0224061,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0511506,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0085132,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.3034885,,,,
,,,,
,,,,
0.4969136,0.0224688,,,
0.2484568,0.0159623,,,
,0.0861356,,,
,0.0107936,,,
,,,,
,,,,
,0.0280936,,,
,0.1007906,,,
,0.0818486,,,
,,,,
,,,,
,,,,
,,,,
,0.0164488,,,
0.1778436,,,,
,0.0162359,,,
,0.0472485,,,
,,,,
,,,,
,0.0168744,,,
,,,,
,,,,
,,,,
,0.0633628,,,
,0.0013986,,,
,0.0204621,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0382791,,,
,,,,
,,,,
,,,,
,0.0706598,,,
,0.0147157,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0019763,0.0338918,,
,0.002858,,,
,0.0217087,,,
,0.0439647,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.0638055,,,,
0.5742495,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0079964,,,
,,,,
,,,,
,,,,
,0.0158711,,,
,,,,
,,,,
,,,,
,0.0063849,,,
,,,,
,,,,
,,,,
,0.0021891,,,
,0.0009121,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0135299,,,
,0.0083004,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.2316912,,,,
0.690169,,,,
0.0422622,,,,
,,,,
0.0893022,,,,
0.0595348,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0368501,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0213743,,,
,0.0683187,,,
,0.0530557,,,
,0.0008817,,,
,,,,
,,,,
,0.010824,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.271332,,,,
0.135666,,,,
,,,,
0.233298,,,,
0.233298,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0763454,,,
,0.0460322,,,
0.0781818,,,,
0.3518181,,,,
,0.0015506,,,
,,,,
,,,,
,,,,
,,,,
,0.0911523,,,
,0.0059592,,,
,,,,
,,,,
,,,,
,0.028793,,,
,0.0755854,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0185467,,,
,,,,
,,,,
,,,,
,,,,
,0.03083,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0233506,,,
,0.0098511,,,
,0.0072666,,,
,,,,
,,,,
,0.1477957,,,
,0.0555184,,,
,0.0672241,,,
,,,,
,,,,
,,,,
0.4025368,0.0158711,,,
0.0503171,0.0013682,,,
,,,,
,,,,
,,,,
,,,,
,0.0309821,,,
,,,,
,,,,
,0.0014898,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.015111,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0395257,,,
,0.0005777,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0202189,,,
,0.0446033,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.1371246,0.0016722,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0006689,,,
,,,,
,0.0186682,,,
,0.0744603,,,
,0.028793,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0215567,,,
,,,,
,,,,
,,,,
,0.0072666,,,
,,,,
,0.0432958,,,
,0.004135,,,
,0.0125874,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0309517,,,
,0.0904531,,,
,0.110672,,,
,,,,
,,,,
,0.0261478,,,
,0.0439039,,,
,0.007662,,,
,0.0002432,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0.1497674,,0.0213161,,
0.2995348,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,0.0379289,,
,,,,
,,,,
,,,,
,,,,
,0.0327759,,,
,0.0043478,,,
,0.0205534,,,
,,,,
,,,,
,,,,
,3.04e-05,,,
,0.0272423,,,
,,,0.0606061,
,,,0.0586364,
,,,0.0821212,
,,,,
,,,,
,,,,
,,,,
,0.0129523,,,
,,,,
,,,,
,0.0053208,,,
,,,,
,,,,
,,,,
,,,,
,0.0001824,,,
,,,,
,,,,
,0.0326544,,,
,0.0577379,,,
,0.0016722,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.022256,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0040438,,,
,0.0023715,,,
,0.0018547,,,
,,,,
,,,,
,,,,
,,,,
,0.0008209,,,
,0.0304652,,,
,,,,
,,,,
,,,,
,0.0013986,,,
,,,,
,0.0921557,,,
,,,,
,0.0317421,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0049559,,,
,0.0265126,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0048647,,,
,,,,
,0.0153542,,,
,,,,
,0.0013378,,,
,,,,
,,,,
,,,,
,,,,
,0.017817,,,
,0.0089085,,,
,,,,
0.3296408,,,,
,0.0503801,,,
,,,,
0.3991544,,,,
0.0498943,,,,
,0.0845242,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,0.0472181,,,
,0.0061417,,0.0360606,
,,,0.0761364,
,,,0.0653788,
,,,0.0501894,
,,,0.057803,
